লেখক	বিষয়	পত্রাঙ্ক
স্বামী সুন্দরানন্দ	দার্শনিক হেগেল ও মার্ক্সের 'ডায়ালেক্‌টিক্‌ নীতি'	৩৯৩
কবিশেখর শ্রীকালিদাস রায়	মৃত্যুর উদ্দেশে	৩৯৬
অনুবাদক—শ্রীনীরদ কুমার রায়	শ্রীরামকৃষ্ণের দৃষ্টিতে শ্রীশ্রীমা	৩৯৭
অধ্যাপক শ্রীফণিভূষণ সান্যাল, এম্‌-এ	ভারতের রাজস্বব্যবস্থা ও তাহার সংস্কার	৪০৪
 শ্রীমতি উমারাণী দেবী	আলো ছায়া	৪০৭
স্বামী বাসুদেবানন্দ	আলয়-বিজ্ঞান—শাখাদ্বয়	৪০৮
পরাগ	সন্ধ্যা	৪১১
শ্রীসুরেশচন্দ্র নন্দী	ভক্তি–বৃত্তি	৪১২
ডাঃ শচীন সেনগুপ্ত	সন্ধান	৪১৮
শ্রীবেলা দে	বৈষ্ণব সংগীত বা পদাবলী	৪১৯
স্বামী নিখিলানন্দ	আমেরিকায় বেদান্ত–প্রভাব	৪২২
স্বামী জগদীশ্বরানন্দ	স্বামী আত্মানন্দ	৪২৬
শ্রীনারায়ণচন্দ্র রায়	রবীন্দ্র–সাহিত্যে ভারতের আদর্শিক রূপ	৪৩৪
শ্রীরাসমোহন ভট্টাচার্য	নিবেদন	৪৪০
	শ্রীরামকৃষ্ণ মঠ ও মিশন সংবাদ	৪৪১
	নবপ্রকাশিত পুস্তক	৪৪৪
	বিবিধ সংবাদ	৪৪৪
	পাটনা রামকৃষ্ণ মিশন আশ্রমের মন্দির ও প্রার্থনাগৃহ নির্ম্মাণের জন্য আবেদন	৪৪৮
