লেখক	বিষয়	পত্রাঙ্ক
স্বামী সুন্দরানন্দ	পাশ্চাত্য সভ্যতা	৩৩৭
স্বামী সত্যাত্মানন্দ	শ্রীরামকৃষ্ণ-প্রসঙ্গে স্বামী বিজ্ঞানানন্দ	৩৪২
এস্‌ ওয়াজেদ আলি, বি-এ(কেণ্টাব), বার্‌-এট-ল	মহামানব	৩৪৫
ডক্টর শ্রীদীনেশ্চন্দ্র সরকার, এম্‌-এ, পি. আর্‌. এস্‌., পি-এইচ্‌. ডি, অধ্যাপক কলিকাতা বিশ্ববিদ্যালয়	প্রাচীন গৌড়বাসীর সমুদ্রযাত্রা	৩৪৬
স্বামী জগদীশ্বরানন্দ	শিন্ধুদেশে হিন্দুধর্মের অবস্থা	৩৫০
স্বামী রমানন্দ	শ্রীরামকৃষ্ণ ও কর্মযোগ	৩৫৫
অধ্যাপক শ্রীপ্রিয়রঞ্জন সেন, এম্‌-এ, পি-আর্‌-এস্‌	অনন্তের সুরে	৩৬১
শ্রীহরিবোলানাথ রায় চৌধুরী	ত্যাগ ও সেবা	৩৬৫
শ্রীযতীন্দ্রনাথ দাস	আমি	৩৬৮
শ্রীগিরিজাশঙ্কর রায় চৌধুরী	শ্রীঅরবিন্দ	৩৬৯
শ্রীনলিনীরঞ্জন সরকার	শ্রীরামকৃষ্ণ-বিবেকানন্দ	৩৭৭
শ্রীমতী অপর্ণা দেবী	রুদ্র অভিসার	৩৮৩
শ্রীবলাই দেবশর্ম্মা	বৈদিক সভ্যতায় সোম	৩৮৩
	সমালোচনা	৩৮৬
	শ্রীরামকৃষ্ণ মঠ ও মিশন সংবাদ	৩৮৮
	বিবিধ সংবাদ	৩৯১
	রামকৃষ্ণ মিশনের ঝটিকা ও দাঙ্গা সেবাকার্য্য	৩৯২
