লেখক	বিষয়	পত্রাঙ্ক
স্বামী সুন্দরানন্দ	স্বাধীন ভারতে গণতান্ত্রিক রাষ্ট্রের ধর্মনীতি	৫৭
কাব্যশ্রী শ্রীজগদীশচন্দ্র রায়, সাহিত্য-সরস্বতী	'ফুল ফোটে আর ফুল ঝরে'	৬১
স্বামী ভাস্বরানন্দ	শোনানে নেতাজী	৬২
অধ্যাপক শ্রীবীরেন্দ্রচন্দ্র ভট্টাচার্য্য, এম্‌-এ	উদ্বোধন	৬৭
ওয়াল্‌টার উওরিং	গার্ল গাইড আন্দোলনের ইতিবৃত্ত	৬৮
শ্রীবিমল চন্দ্র ঘোষ	শ্রীরামকৃষ্ণ	৬৯
স্বামী প্রজ্ঞানানন্দ	ভারতীয় দর্শনের রূপ	৭০
শ্রীহেমেন্দ্র প্রসাদ ঘোষ	স্বামী বিবেকানন্দের অবদান	৭৩
দেবল	অনির্বচনীয়	৮০
ডঃ অভীশ্বর সেন,এম্‌-এস্‌সি,পিএইচ্‌-ডি	নাইট্রোজেন ও মানুষ	৮১
শ্রীশশাঙ্কশেখর চক্রবর্ত্তী	দক্ষিণেশ্বর	৮৩
বিজয়লাল চট্টোপাধ্যায়	"আমারে আড়াল করিয়া দাঁড়াও"	৮৪
শ্রীবীরেন্দ্রনাথ রায়, বি-এ	শ্রীরামকৃষ্ণ ও বর্ত্তমান যুগসমস্যা	৮৭
শ্রীঅর্দ্ধেন্দুশেখর দত্ত	স্পর্শ-কাঙ্গাল	৯১
অধ্যাপক শ্রীহরেন্দ্র চন্দ্র পাল, এম-এ	কোরানে মলা'ইক বা দেবদূতদের রূপ	৯২
স্বামী জগদীশ্বরানন্দ	স্বামী প্রকাশানন্দ	৯৬
স্বামী শ্রদ্ধানন্দ	পরিপূর্ণ	১০২
	সমালোচনা	১০৩
	শ্রীরামকৃষ্ণ মঠ ও মিশন সংবাদ	১০৬
	বিবিধ সংবাদ	১১০
