লেখক	বিষয়	পত্রাঙ্ক
স্বামী সুন্দরানন্দ	ধর্ম্মকায়	১৬৯
শ্রীকালিদাস রায়, বি-এ, কবিশেখর	পরমহংসদেবের বাণী	১৭৩
শ্রীযতীন্দ্র মোহন ভট্টাচার্য্য, এম্‌-এ	কেতকা দাস ক্ষেমানন্দ রচিত মনসা মঙ্গল পুঁথির পরিচয়	১৭৪
ডঃ বেণীমাধব বড়ুয়া, এম্‌-এ, ডি-লিট্‌,(লণ্ডন)	বুদ্ধের মহাপুরুষত্ব	১৭৮
স্বামী রমানন্দ	ভগবান শ্রীরামকৃষ্ণ	১৮১
শ্রীকুমুদবন্ধু সেন	রাশিয়ায় নৈরাজ্যবাদ	১৮৫
শ্রীশিবদাস সুর	ত্রিশরণ	১৮৮
শ্রীরমণীকুমার দত্তগুপ্ত, বি-এল	ভক্ত-সম্মেলনের উপযোগিতা ও ভক্তগণের কর্ত্তব্য	১৮৯
শ্রীগিরিজাশঙ্কর রায় চৌধুরী	শ্রীঅরবিন্দ	১৯৩
অধ্যাপক শ্রীপ্রিয়রঞ্জন সেন,এম্‌-এ, পি-আর্‌-এস্‌	অনন্তের সুরে	২০০
শ্রীনকুলেশ্বর পাল, বি-এল	ভারতের নারী	২০৩
শ্রীরাস্মোহন চক্রবর্ত্তী, পি এইচ্‌-বি, পুরাণরত্ন, বিদ্যাবিনোদ	বুদ্ধদেবের জন্মবৃত্তান্ত	২০৪
স্বামী অপূর্বানন্দ	কৈলাস ও মানসসরোবর	২০৭
শ্রীগোবর্দ্ধন পীঠাধীন স্বামী শ্রীশঙ্করতীর্থ	আদান-প্রদান	২১০
স্যার্‌ সর্ব্বপল্লী রাধাকৃষ্ণন্‌, কে-টি	বর্ত্তমান সভ্যতার রূপ	২১৪
	সমালোচনা	২১৭
	শ্রীরামকৃষ্ণ মঠ ও মিশন সংবাদ	২১৯
	বিবিধ সংবাদ	২২২
	রামকৃষ্ণ মিশন বিদ্যামন্দির	২২৪
