লেখক	বিষয়	পত্রাঙ্ক
অধ্যাপক শ্রীহারাণচন্দ্র শাস্ত্রী	উপাসনা	৪৪৯
স্বামী সুন্দরানন্দ	ফ্রয়েড্‌ বনাম ইয়ুং	৪৫৬
শ্রীবিমলচন্দ্র ঘোষ	মহামায়ার আগমনী	৪৬০
ডক্টর শ্রীদীনেশ্চন্দ্র সরকার, এম্‌-এ, পি-আর্‌-এস্‌, পি-এচ্‌-ডি	সমুদ্রগুপ্তের নালন্দা তাম্রশাসন	৪৬২
অধ্যাপক শ্রীক্ষিতিমোহন সেন, শাস্ত্রী, এম্‌-এ	ভক্ত নারী দয়াবাঈ	৪৬৫
মহামহোপাধ্যায় শ্রীদুর্গাচরণ সাংখ্য-বেদান্ততীর্থ	আনন্দময়ীর আবির্ভাব	৪৬৭
অধ্যাপক শ্রীশম্ভুনাথ রায়, এম্‌-এ	ইউরোপীয় দর্শনের চরম সিদ্ধান্ত	৪৭১
শ্রীকুমুদরঞ্জন মল্লিক, বি-এ	সে দিন	৪৭৬
মহামহোপাধ্যায় শ্রীফণিভূষণ তর্কবাগীশ	চিত্রচম্পু ও বাণেশ্বর	৪৭৭
শ্রীসুনীতিকুমার চট্টোপাধ্যায়, কলিকাতা বিশ্ববিদ্যালয়	তিব্বতের প্রাচীন বোন্‌-ধর্মের দুইটী কবিতা	৪৮৬
স্বামী নির্লেপানন্দ	উদ্বোধনের প্রথম সম্পাদক	৪৮৯
ডক্টর শ্রীবেণীমাধব বড়ুয়া, এম্‌-এ, ডি-লিট্‌	বৌদ্ধ ধ্যানমার্গ ও পতঞ্জলির যোগসূত্র	৪৯৩
স্বামী রমানন্দ	শ্রীরামকৃষ্ণ ও যত মত তত পথ	৪৯৮
ব্রহ্মচারী সত্যচৈতন্য	শরৎরাণী	৫০৫
বিনয় সরকার	ত্যাঁদড়ের দর্শনের আর এক কাঁচ্চা	৫০৬
আচার্য্য শ্রীপ্রফুল্লচন্দ্র রায়	প্রতীচ্যের গবেষণা-প্রেরণা	৫০৯
মহামহোপাধ্যায় শ্রীপ্রমথনাথ তর্কভূষণ	অচিন্ত্যভেদাভেদবাদ	৫১৬
শ্রীনীরদবরণ চট্টোপাধ্যায়	উদাসী মন	৫২১
অধ্যাপক শ্রীচিন্তাহরণ চক্রবর্তী, এম্‌-এ	শৈব নীলকন্ঠ	৫২২
শ্রীমণীন্দ্রভূষণ গুপ্ত	পাশ্চাত্য শিল্পের ধারা	৫২৫
শ্রীগিরিজাশঙ্কর রায়চৌধুরী	শ্রীঅরবিন্দ	৫২৯
শ্রীযতীন্দ্রনাথ দাস	বিলম্ব কত?	৫৩৯
স্বামী জগদীশ্বরানন্দ	মহামায়া	৫৪১
অধ্যাপক শ্রীপ্রিয়রঞ্জন সেন, এম্‌-এ, পি-আর্‌-এস্‌	অনন্তের সুরে	৫৪৬
স্বামী গম্ভীরানন্দ	দৃষ্টিভেদ	৫৫৩
অধ্যাপক শ্রীঅশোকনাথ শাস্ত্রী,  এম্‌-এ, পি-আর্‌-এস্‌, বেদান্ততীর্থ	অদ্বৈত-বেদান্ত-সম্প্রদায়ে সগুণ মুক্তির তারতম্য	৫৫৭
স্বামী প্রেমঘনানন্দ	নিবেদিতা	৫৬৪
অধ্যাপক শ্রীউপেন্দ্রচন্দ্র তর্কাচার্য্য, কাব্য-ব্যাকরণ-পুরাণ-সাংখ্য-বেদান্ত-তর্ক-ষড়দর্শন-তীর্থ	মহামায়া-প্রভাব	৫৬৭
শ্রীকালিদাস রায়, বি-এ, কবিশেখর	বিজয়া	৫৭২
	সমালোচনা	৫৭৩
	শ্রীরামকৃষ্ণ মথ ও মিশন-সংবাদ	৫৭৪
	বিবিধ সংবাদ	৫৭৫
	বেলুড় রামকৃষ্ণ মিশন বিদ্যামন্দির	৫৭৬
