লেখক	বিষয়	পত্রাঙ্ক
কবিশেখর কালিদাস রায়,বি-এ	শ্রীশ্রীচণ্ডী ও বাঙ্গালী জাতি	৩৬৭
স্বামী সুন্দরানন্দ	বৌদ্ধ সংঘ	৩৭০
শ্রীমহেন্দ্রনাথ সরকার	তন্ত্রালোক	৩৭৩
শ্রীমতী স্বামিশিষ্যা দেবী,বি-এস্‌সি	প্রলয়	৩৭৪
শ্রীসচ্চিদানন্দ ধর	আগমনী	৩৭৫
	স্বামী যোগানন্দের পত্র	৩৭৮
	স্বামী নিরঞ্জনানন্দের পত্র	৩৭৮
শ্রীঅনিল কুমার মণ্ডল	জিজ্ঞাসা	৩৮০
শ্রীযগানন্দ ব্রহ্মচারী	সহজিয়া ধর্ম্মমত কি শ্রীচৈতন্যের পরবর্ত্তী	৩৮১
শ্রীগিরিজাশঙ্কর রায়চৌধুরী	শ্রীঅরবিন্দ	৩৮৩
শ্রীমণিভূষণ দাশগুপ্ত	স্মৃতির সৌরভ	৩৮৯
শ্রীসাহাজী	পুরাণ-প্রসংগ	৩৯১
শ্রীনকুলেশ্বর পাল, বি-এল	প্রতিমা উঠিবে নাকি জাগি	৩৯৪
শ্রীযতীন্দ্র নাথ দাস	বিবেকানন্দ	৩৯৪
	শ্রীরামকৃষ্ণ মঠ ও মিশন সংবাদ	৩৯৫
	বিবিধ সংবাদ	৩৯৬
