লেখক	বিষয়	পত্রাঙ্ক
স্বামী সুন্দরানন্দ	অজাতশত্রুর বৌদ্ধধর্ম গ্রহণ	১৬৯
	স্বামী বিবেকানন্দের পত্র	১৭৪
শ্রীঅপর্ণা দেবী	রুদ্র বৈশাখ	১৭৬
ডক্টর শ্রীদীনেশ্চন্দ্র সরকার, এম.এ., পি.আর.এস, পি-এচ.ডি.	রহ্ম, ভাটি এবং বঙ্গাল দেশ	১৭৭
শ্রীসাবিত্রীপ্রসন্ন চট্টোপাধ্যায়	ব্যথার ঠাকুর	১৭৯
শ্রীপঙ্কজকুমার মুখোপাধ্যায়, এম্‌-এ, বি-এল	রবীন্দ্রনাথ ও সমাজতত্ত্ব	১৮০
শ্রীরাসমোহন চক্রবর্ত্তী, পি-এইচ্‌-বি পুরাণরত্ন, বিদ্যাবিনোদ	তান্ত্রিক বৌদ্ধ সাহিত্যে বাঙ্গালীর অবদান	১৮৫
কবিশেখর শ্রীকালিদাস রায়,বি-এ	তোমার বিধান	১৯০
শ্রীগিরিজাশঙ্কর রায় চৌধুরী	শ্রীঅরবিন্দ	১৯১
শ্রীতামসরঞ্জন রায়, এম্‌-এ, বি-টি	বাংলা শিশু-সাহিত্য	১৯৫
শ্রীইন্দুবালা দেবী শ্রীরামকৃষ্ণ	২০৩
অধ্যাপক শ্রীপ্রিয়রঞ্জন সেন, এম্‌-এ,পি-আর্‌-এস্‌	অনন্তের সুরে	২০৪
শ্রীবাসুদেব সাহা	'ত্যক্তেন ভুঞ্জীথা'	২০৮
মহামহোপাধ্যায় শ্রীযোগেন্দ্রনাথ তর্কতীর্থ	অদ্বৈতবাদের ব্যাপ্তি	২০৯
	সমালোচনা	২১৭
	শ্রীরামকৃষ্ণ মঠ ও মিশন সংবাদ	২১৯
	বিবিধ সংবাদ	২২১
