লেখক	বিষয়	পত্রাঙ্ক
স্বামী সুন্দরানন্দ	পাকিস্তান রাষ্ট্রের ধর্মনীতি	২৮১
শ্রীপূর্ণেন্দু গুহ রায়	মিথ্যা হবে	২৮৪
স্বামী জগদীশ্বরানন্দ	স্বামী শুদ্ধানন্দ	২৮৫
শ্রী—	শ্রীরামকৃষ্ণ জন্মোৎসব প্রদর্শনী	২৯২
স্বামী বাসুদেবানন্দ	শাঙ্কর ভাষ্যস্থ বৌদ্ধাচার্যগণ	২৯৭
শ্রীপ্রণব ঘোষ	সমুদ্র দেখেছি আমি	৩০১
অধ্যাপক শ্রীমুরারিমোহন রায়চৌধুরী	গাছের সবুজ-কথা	৩০২
শ্রীনকুলেশ্বর পাল, বি-এল্‌	ভীম ভৈরব জাগো	৩০৫
শ্রীগোকুল	শ্রীশ্রীমাতাঠাকুরাণী	৩০৬
ডাঃ শচীন সেনগুপ্ত	পথিক	৩১২
	শ্রীমৎ স্বামী শিবানন্দ মহারাজের পত্র	৩১৩
অধ্যাপক শ্রীহরেন্দ্রচন্দ্র পাল, এম-এ	কোরানে শয়তানের রূপ ও সদসদ্‌ বিচার	৩১৪
ডক্টর অভীশ্বর সেন, এম্‌-এস্‌সি, পিএইচ্‌-ডি	প্রাকৃতিক নিয়ন্ত্রণ ও মানুষ	৩১৭
উইক্‌হ্যাম ষ্টীড	পৃথিবীতে খাদ্য উৎপাদন বৃদ্ধি	৩১৯
শ্রীঅহিভুষণ দে চৌধুরী	মায়ারহস্য	৩২১
ডক্টর জ্ঞানচন্দ্র ঘোষ	বিশ্বপ্রকৃতির রহস্য উদ্ঘাটনে মানবমনীষার উদ্যম	৩২৫
	শ্রীরামকৃষ্ণ মঠ ও মিশন সংবাদ	৩৩০
	বিবিধ সংবাদ	৩৩২
