লেখক	বিষয়	পত্রাঙ্ক
শ্রীগিরিজাশঙ্কর রায়চৌধুরী	শ্রীঅরবিন্দের উপর শ্রীরামকৃষ্ণ ও স্বামী বিবেকানন্দের প্রভাব	২৪১
শ্রীনকুলেশ্বর পাল, বি-এল্‌	স্বামী বিবেকানন্দ	২৫০
স্বামী সুন্দরানন্দ	চীনের জনশিক্ষক জিমি	২৫১
রায় বাহাদুর শ্রীসত্যকিঙ্কর সাহানা	দ্বন্দ্ব	২৫৬
শ্রীকালিদাস রায়	ভারতচন্দ্র ও রামপ্রসাদ	২৫৭
অধ্যাপক শ্রীশীতাংশু শেখর বাগছি, এম-এ্‌, বি-এল্‌,সাংখ্যতীর্থ	ন্যায়দর্শনে তর্কের স্বরূপ	২৬২
ব্রহ্মচারী অসিত	সাধন-ফল	২৬৪
শ্রীমহেন্দ্রনাথ সরকার	তন্ত্রালোক	২৬৫
শ্রীসাহাজী	ব্রহ্মগায়ত্রী	২৬৭
শ্রীসৌরীন দে, এম্‌-এ, বি-এল	আবেদন	২৬৯
স্বামী শ্রদ্ধানন্দ	সত্য ও মিথ্যা	২৭০
স্বামী দিব্যাত্মানন্দ	শ্রীবেঙ্কটনাথজী	২৭২
	স্বামী বিবেকানন্দের পত্র	২৭৫
শ্রীহেমন্তচন্দ্র চৌধুরী	গীতা-জয়ন্তী	২৭৬
শ্রীবলাই দেবশর্ম্মা	অবতার ও অতিমানব	২৭৯
	সমালোচনা	২৮২
	শ্রীরামকৃষ্ণ মঠ ও মিশন সংবাদ	২৮৪
	বিবিধ সংবাদ	২৮৬
