লেখক	বিষয়	পত্রাঙ্ক
	দিব্য বাণী	৪৯
	কথাপ্রসঙ্গে	৫০
শ্রীধনেশ মহলানবীশ	যুগাবতার	৫২
শ্রীমতী আশা রায়	শ্রীশ্রীরামকৃষ্ণ-স্মরণে	৫৩
শ্রীক্ষেত্রপতি ঘোষ	তুমি যে দয়াল	৫৪
স্বামী মুমুক্ষানন্দ	স্বামী বিবেকানন্দ ও শ্রীরামকৃষ্ণ প্রচার	৫৫
শ্রীমতী প্রীতিময়ী কর,ভারতী	শুভ জন্মদিনে	৫৮
শ্রীমানস কুমার সান্যাল	'কাঁচা আমি' ও 'পাকা আমি'	৫৯
শ্রীযতীন্দ্র কুমার ঘোষ	অবতরণ-রহস্য ঃ যোগমায়া	৬২
স্বামী নিরাময়ানন্দ	ঈশোপনিষদ্‌ অনুধ্যান	৬৫
স্বামী সারদেশানন্দ	মাতৃসঙ্গীত	৬৭
স্বামী অমৃতত্বানন্দ	মানসপুত্র	৬৮
	পরলোকে বিজ্ঞানাচার্য সত্যেন্দ্রনাথ বসু	৭২
স্বামী প্রভানন্দ	শ্রীরামকৃষ্ণের সর্বধর্মসমন্বয়	৭৩
	সমালোচনা	৭৬
	শ্রীরামকৃষ্ণ মঠ ও মিশন সংবাদ	৭৮
	বিবিধ সংবাদ	৮৭
	উদ্বোধন, ১ম বর্ষ, ৯ম সংখ্যা	৮৯
পণ্ডিতবর প্রমথনাথ তর্কভূষণানুবাদিত	ভগবদ্‌গীতা শাঙ্করভাষ্যের বঙ্গানুবাদ	৮৯
পণ্ডিত রজনীকান্ত বিদ্যারত্ন কর্ত্তৃক আনুবাদিত	মহাভাষ্যম	৮৯
	উদ্বোধন, ১ম বর্ষ, ১০ম সংখ্যা	৮৯
স্বামী বিবেকানন্দ	বর্ত্তমান ভারত	৯৫
